Title,Year,IMDb Rating,Genre,Budget (USD),Revenue (USD)
The Dark Knight,2008,9.0,Action,185000000,1004558444
Inception,2010,8.8,Action,160000000,839030630
Interstellar,2014,8.7,Adventure,165000000,746606706
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,Adventure,93000000,871368364
The Lord of the Rings: The Return of the King,2003,9.0,Adventure,94000000,1118888979
The Dark Knight Rises,2012,8.4,Action,250000000,1081041287
The Lord of the Rings: The Two Towers,2002,8.8,Adventure,79000000,926287400
Django Unchained,2012,8.5,Western,100000000,425368238
The Wolf of Wall Street,2013,8.2,Biography,100000000,407038432
Inglourious Basterds,2009,8.4,Adventure,70000000,321457747
Batman Begins,2005,8.2,Action,150000000,374218673
Joker,2019,8.3,Crime,55000000,1078958629
Shutter Island,2010,8.2,Drama,80000000,294804195
The Prestige,2006,8.5,Drama,40000000,109676311
The Avengers,2012,8.0,Action,220000000,1518815515
The Departed,2006,8.5,Crime,90000000,291465000
Avatar,2009,7.9,Action,237000000,2923706026
Memento,2000,8.4,Mystery,9000000,40047236
Avengers: Endgame,2019,8.4,Action,356000000,2799439100
Guardians of the Galaxy,2014,8.0,Action,170000000,772776600
Avengers: Infinity War,2018,8.4,Action,300000000,2052415039
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,Action,140000000,655011224
WALL·E,2008,8.4,Adventure,180000000,521311860
Kill Bill: Vol. 1,2003,8.2,Action,30000000,180906076
V for Vendetta,2005,8.1,Action,54000000,134686457
Deadpool,2016,8.0,Action,58000000,782837347
Up,2009,8.3,Adventure,175000000,735099082
Iron Man,2008,7.9,Action,140000000,585174222
Mad Max: Fury Road,2015,8.1,Action,150000000,378858340
Catch Me If You Can,2002,8.1,Biography,52000000,352114312
Finding Nemo,2003,8.2,Adventure,94000000,940335536
Eternal Sunshine of the Spotless Mind,2004,8.3,Drama,20000000,72258126
No Country for Old Men,2007,8.2,Crime,25000000,171627166
Gone Girl,2014,8.1,Drama,61000000,370890259
Whiplash,2014,8.5,Drama,3300000,50307484
Parasite,2019,8.5,Drama,11363000,257591776
